id,timestamp,text,link,is_retweet,retweets,favorites,replies
681696040458809345,8:39 pm - 28 Dec 2015,.@jessebwatters is terrific at hosting on @FoxNews - he really gets it!,https://twitter.com/realDonaldTrump/status/681696040458809345,false,1.1K,3.7K,344
681694554534330368,8:33 pm - 28 Dec 2015,"""@russgrand: @JebBush We had your brother and Father who were a disaster in office..do us a favor and drop out in favor of @realDonaldTrump""",https://twitter.com/realDonaldTrump/status/681694554534330368,false,1.1K,3.4K,413
681693955700948996,8:31 pm - 28 Dec 2015,"Remember that Bill Clinton was brought in to help Hillary against Obama in 2008. He was terrible, failed badly, and was called a racist!",https://twitter.com/realDonaldTrump/status/681693955700948996,false,2.4K,5.6K,1.1K
681684408273911808,7:53 pm - 28 Dec 2015,"""@shawgerald4: @realDonaldTrump your kids all love you and so does America :] #Trump2016 pic.twitter.com/9neQzpVYLt""",https://twitter.com/realDonaldTrump/status/681684408273911808,false,1.1K,4.2K,360
681684170955948032,7:52 pm - 28 Dec 2015,"""@LeeMiracle3: @FoxNews @CharlesHurt @realDonaldTrump Trump listening to voters, unlike GOP""",https://twitter.com/realDonaldTrump/status/681684170955948032,false,881,2.7K,200
681682653431644161,7:46 pm - 28 Dec 2015,"""@umakemeill: @FoxNews @JebBush @HillaryClinton @realDonaldTrump https://twitter.com/umakemeill/status/681680861809348608/photo/1pic.twitter.com/uI6tmYH5ka """,https://twitter.com/realDonaldTrump/status/681682653431644161,false,2.1K,4.4K,762
681682543826079744,7:45 pm - 28 Dec 2015,"""@IJNIPGM: No casualties. Just victory, victory, and more victory as you proclaim the truth that is in your heart. We love God and USA""",https://twitter.com/realDonaldTrump/status/681682543826079744,false,944,3.3K,192
681682389102399489,7:45 pm - 28 Dec 2015,"""@sunquist007: @JebBush Why do u keep trying to attack Trump? Really dumb strategy! U lose, he wins! #lets make America great again!!!!!""",https://twitter.com/realDonaldTrump/status/681682389102399489,false,819,2.8K,260
681682019575840768,7:43 pm - 28 Dec 2015,"""@BentleyforTrump: @realDonaldTrump ALL OF AMERICA LOVES TRUMP! #TrumpOrNobody2016 #MakeAmericaGreatAgain"" Thanks!",https://twitter.com/realDonaldTrump/status/681682019575840768,false,728,2.4K,227
681681216853151745,7:40 pm - 28 Dec 2015,"""@slone: FLASHBACK1986: @realDonaldTrump Saved a Georgia Farm http://www.newsmax.com/Headline/trump-save-georgia-farm/2015/12/27/id/707239/ … pic.twitter.com/MaEHiEQoMI"" Thank you, nice memories!",https://twitter.com/realDonaldTrump/status/681681216853151745,false,937,2.6K,128
681678252029665281,7:28 pm - 28 Dec 2015,"Thank you- Nashua, New Hampshire! #MakeAmericaGreatAgain #Trump2016 
#NHPolitics #FITN https://www.facebook.com/DonaldTrump/posts/10156469466560725:0 …pic.twitter.com/I1lMmcYk3l",https://twitter.com/realDonaldTrump/status/681678252029665281,false,991,2.9K,195
681608453501014016,2:51 pm - 28 Dec 2015,"Thank you! #Trump2016 
https://instagram.com/p/_2lRuOGhbt/ pic.twitter.com/yhQUQiuswl",https://twitter.com/realDonaldTrump/status/681608453501014016,false,1.5K,4.6K,457
